Time,Junction 1,Big Roundabout,Junction 2,Junction 3,Junction 4,Junction 5
225,0,1,0,1,2,1
226,0,1,0,1,2,1
227,0,1,0,1,2,1
228,0,1,0,1,2,0
229,0,1,0,2,3,0
230,0,1,0,2,3,0
231,0,1,0,2,2,0
232,0,1,0,2,1,1
233,0,1,0,2,1,1
234,0,0,0,1,1,1
235,0,0,0,1,1,1
236,0,0,0,1,1,1
237,0,0,0,1,1,1
238,0,0,0,1,1,1
239,0,0,0,0,0,1
240,0,0,0,1,0,1
241,0,0,0,2,0,1
242,0,0,0,2,0,1
243,0,0,0,2,0,0
244,0,0,1,2,0,0
245,0,0,1,1,0,0
246,0,0,1,1,1,0
247,0,0,1,1,1,0
248,0,0,1,1,1,0
249,0,0,1,1,1,0
250,0,0,2,1,2,0
251,0,0,2,1,3,0
252,0,1,2,1,3,0
253,0,1,2,0,3,0
254,0,1,1,0,3,0
255,0,2,1,0,3,0
256,0,2,1,0,3,0
257,0,2,1,0,3,0
258,0,2,1,0,2,0
259,0,2,1,0,2,0
260,0,2,0,0,1,0
261,0,2,0,0,1,0
262,0,2,0,0,1,0
263,0,2,0,0,1,0
264,0,2,0,0,2,0
265,0,2,0,0,1,1
266,1,2,0,0,1,1
267,1,2,0,0,1,1
268,1,2,0,0,1,0
269,1,2,0,0,1,0
270,1,2,0,0,1,0
271,1,2,0,0,1,0
272,1,2,0,0,1,1
273,1,1,0,0,1,1
274,1,1,0,0,1,1
275,1,0,0,1,1,1
276,1,0,0,1,1,0
277,0,0,0,1,1,0
278,0,0,0,2,1,0
279,0,0,0,3,1,0
280,0,0,0,3,1,0
281,0,0,0,3,1,0
282,0,1,0,3,0,0
283,0,1,0,4,0,0
284,0,1,0,3,0,0
285,0,1,0,3,0,0
286,0,1,0,3,0,0
287,0,1,0,3,0,1
288,0,1,1,4,0,1
289,0,1,1,3,0,2
290,0,1,1,2,0,2
291,0,1,1,3,0,2
292,0,2,1,3,0,1
293,0,2,1,2,0,1
294,0,3,1,2,0,1
295,0,3,1,1,0,1
296,0,3,1,1,0,1
297,0,3,1,1,0,0
298,0,3,1,1,1,0
299,0,2,1,0,1,0
300,0,2,1,0,1,1
301,0,2,1,0,0,1
302,0,2,1,0,0,1
303,0,2,1,0,1,1
304,0,2,0,0,2,1
305,0,2,1,0,2,1
306,0,2,1,0,2,0
307,0,1,1,0,1,0
308,0,1,1,0,1,0
309,0,2,1,0,1,0
310,0,0,1,0,1,0
311,0,0,2,0,1,0
312,0,0,2,0,1,0
313,0,0,2,0,0,0
314,0,0,2,1,0,0
315,0,0,1,1,0,1
316,0,0,1,1,1,1
317,0,0,1,1,1,1
318,0,0,1,1,1,1
319,0,0,1,1,1,1
320,0,1,2,1,1,2
321,0,1,1,1,1,2
322,0,1,1,1,1,1
323,0,1,1,0,1,0
324,0,1,1,0,1,0
325,0,1,1,0,1,0
326,0,1,1,0,0,1
327,0,1,2,0,0,1
328,0,1,2,0,0,1
329,0,1,2,0,0,1
330,0,0,1,0,0,0
331,0,0,1,0,0,0
332,1,0,1,0,1,0
333,1,0,2,0,1,2
334,1,0,2,0,1,2
335,1,0,2,0,1,2
336,1,0,2,0,1,2
337,1,0,2,0,1,1
338,1,0,2,0,1,0
339,1,0,1,0,2,0
340,1,0,1,0,1,0
341,0,0,1,0,1,0
342,0,0,1,1,1,0
343,0,0,0,1,1,0
344,0,0,0,1,0,1
345,0,0,0,1,0,1
346,0,0,0,1,0,1
347,0,0,0,1,1,1
348,0,0,0,1,1,0
349,0,0,0,1,1,0
350,0,0,0,1,1,0
351,0,0,0,2,1,0
352,0,0,0,1,1,1
353,0,0,0,1,1,1
354,0,0,0,1,1,2
355,0,0,0,1,0,2
356,0,0,0,1,0,2
357,0,0,0,2,0,1
358,0,0,0,2,0,1
359,0,1,0,2,0,1
360,0,1,0,2,0,2
361,0,1,0,3,0,1
362,0,2,0,3,0,1
363,0,2,0,2,0,1
364,0,2,0,2,0,1
365,0,2,0,3,0,1
366,0,2,0,2,0,1
367,0,2,0,2,0,0
368,0,2,0,2,0,0
369,0,2,0,2,0,0
370,0,2,0,1,0,0
371,0,3,0,1,1,0
372,0,3,0,1,2,0
373,0,3,0,1,1,0
374,1,3,0,1,1,0
375,2,3,0,1,0,0
376,3,2,0,1,0,0
377,2,2,0,2,0,0
378,1,2,0,2,0,0
379,1,2,0,2,0,0
380,1,2,0,2,0,1
381,1,2,1,2,0,0
382,1,2,1,1,0,0
383,2,2,1,2,0,0
384,2,1,1,2,0,0
385,2,1,1,2,0,0
386,2,1,1,2,0,0
387,1,1,1,2,0,0
388,1,1,1,1,0,0
389,1,1,1,1,0,0
390,1,2,0,1,0,0
391,0,2,0,1,0,0
392,1,2,1,1,0,0
393,1,2,1,0,0,0
394,1,2,1,0,0,0
395,1,2,1,0,0,0
396,1,2,1,0,0,0
397,1,2,1,0,0,2
398,0,3,2,0,0,2
399,0,2,2,0,0,2
400,0,2,2,0,0,1
401,0,1,1,1,0,0
402,0,1,1,1,0,1
403,0,1,1,1,0,1
404,0,1,1,1,0,1
405,0,0,1,1,0,0
406,0,0,1,1,0,0
407,0,0,1,1,0,0
408,0,0,0,1,1,0
409,0,0,0,2,1,0
410,0,0,0,2,1,0
411,0,0,0,1,1,0
412,0,0,0,1,2,0
413,0,0,0,1,2,1
414,0,0,0,2,2,2
415,0,0,0,1,2,2
416,0,0,0,1,1,1
417,0,0,0,1,1,1
418,0,0,0,1,1,0
419,0,0,0,0,1,0
420,0,0,0,0,1,1
421,0,0,0,0,0,1
422,0,0,0,0,0,1
423,0,1,0,1,0,1
424,0,1,1,1,1,0
425,0,1,1,1,1,0
426,0,2,1,2,1,0
427,0,2,1,2,1,0
428,0,2,1,2,2,1
429,0,2,1,2,2,1
430,0,2,2,2,2,1
431,0,2,2,2,2,1
432,0,2,2,2,2,1
433,0,2,2,2,1,1
434,0,1,2,1,1,1
435,0,1,2,0,1,0
436,0,0,2,0,0,0
437,0,0,1,0,0,1
438,0,0,2,0,0,1
439,0,0,2,0,0,2
440,0,0,1,0,0,1
441,0,0,1,0,0,1
442,0,0,1,0,0,1
443,0,0,1,0,0,1
444,0,0,1,0,0,1
445,0,0,1,0,0,1
446,0,0,2,0,0,0
447,0,0,1,1,0,2
448,0,0,1,1,0,2
449,0,0,1,0,0,2
450,1,0,1,0,0,4
451,1,0,1,0,0,3
452,1,0,1,0,0,4
453,1,0,1,0,0,4
454,1,0,1,0,0,1
455,1,0,1,0,0,1
456,1,0,0,1,0,0
457,1,0,0,2,0,0
458,1,0,0,2,0,0
459,1,0,0,2,0,1
460,1,1,0,2,1,1
461,1,1,0,2,1,1
462,1,1,0,2,1,0
463,0,1,0,2,3,1
464,0,1,0,3,3,1
465,0,1,0,2,3,1
466,0,1,0,2,2,1
467,0,1,0,1,2,1
468,0,2,0,1,1,2
469,0,1,0,1,1,2
470,0,2,0,1,1,1
471,0,2,0,1,1,1
472,0,2,0,1,1,0
473,0,2,0,1,0,0
474,0,2,0,0,0,0
475,0,2,0,0,0,0
476,0,2,0,0,0,0
477,0,1,0,0,0,0
478,0,1,1,0,0,0
479,0,1,1,0,0,2
480,0,1,1,0,0,2
481,0,1,1,0,0,3
482,0,1,1,0,0,3
483,0,1,1,0,0,1
484,0,1,1,0,0,1
485,0,1,1,0,0,1
486,0,1,1,0,0,1
487,0,1,1,0,0,1
488,0,1,1,0,0,2
489,0,1,1,0,0,2
490,0,1,1,0,0,2
491,0,0,1,1,0,1
492,0,0,1,1,0,1
493,0,0,1,2,0,1
494,0,1,1,2,0,1
495,0,1,1,2,0,1
496,0,1,1,2,0,1
497,0,1,1,2,0,1
498,0,1,0,3,1,1
